Node, 4058
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 4.37955925E-03, -1.251148671E-03, -1.262972131E-03, -4.590274912E-04, 5.565600816E-06, -1.020086984E-04, 0.25151757, -0.125363618, -0.126153949, -3.071875172E-02, 3.720518507E-04, -6.826402503E-03, 889.021217, 22.7584748, 20.9394832, -35.3098083, 0.428123139, -7.84682304
1.2, 3.525525361E-03, -1.004263424E-03, -1.018983268E-03, -3.902967983E-04, -5.565012838E-07, 5.930674661E-05, 0.25151757, -0.125363618, -0.126153949, -3.071875172E-02, 3.720518507E-04, -6.826402503E-03, 715.728355, 18.8377824, 16.5731919, -30.0228302, -4.280779339E-02, 4.56205747
1.4, 2.6714915E-03, -7.573781622E-04, -7.749943907E-04, -3.215660981E-04, -6.678598908E-06, 2.206221907E-04, 0.25151757, -0.125363618, -0.126153949, -3.071875172E-02, 3.720518507E-04, -6.826402503E-03, 542.435509, 14.9170913, 12.2069005, -24.7358537, -0.513738368, 16.9709376
1.7, 1.390440753E-03, -3.870502405E-04, -4.090110742E-04, -2.184700534E-04, -1.586174471E-05, 4.625953552E-04, 0.25151757, -0.125363618, -0.126153949, -3.071875172E-02, 3.720518507E-04, -6.826402503E-03, 282.496216, 9.03605378, 5.65746397, -16.8053892, -1.22013423, 35.5842578
2, 1.093900146E-04, -1.672233384E-05, -4.302776233E-05, -1.15374015E-04, -2.504489066E-05, 7.045685197E-04, 0.25151757, -0.125363618, -0.126153949, -3.071875172E-02, 3.720518507E-04, -6.826402503E-03, 22.556916, 3.15501627, -0.891972769, -8.87492424, -1.92653009, 54.197578
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
