Node, 3062
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 2.102536848E-03, -3.672839666E-04, -5.276468364E-04, 6.108174275E-04, 1.606885507E-04, -1.473361626E-03, 3.812474106E-02, -1.732752193E-02, -2.079721983E-02, 1.358663884E-02, 3.482974396E-03, -3.275006753E-02, 462.80637, 82.8339357, 58.1627254, 46.9859567, 12.3606577, -113.33551
1.2, 1.695354149E-03, -2.908596398E-04, -4.36909806E-04, 4.094461074E-04, 1.723050482E-04, -1.253455615E-03, 3.812474106E-02, -1.732752193E-02, -2.079721983E-02, 1.358663884E-02, 3.482974396E-03, -3.275006753E-02, 372.468102, 66.8967505, 44.4274952, 31.4958551, 13.2542347, -96.4196615
1.4, 1.288171421E-03, -2.144352566E-04, -3.461727429E-04, 2.080745689E-04, 1.839213819E-04, -1.033549728E-03, 3.812474106E-02, -1.732752193E-02, -2.079721983E-02, 1.358663884E-02, 3.482974396E-03, -3.275006753E-02, 282.129845, 50.9595845, 30.6922784, 16.0057356, 14.1477984, -79.5038261
1.7, 6.773972782E-04, -9.979867809E-05, -2.100671391E-04, -9.398274898E-05, 2.013458816E-04, -7.036909228E-04, 3.812474106E-02, -1.732752193E-02, -2.079721983E-02, 1.358663884E-02, 3.482974396E-03, -3.275006753E-02, 146.622442, 27.0538334, 10.0894545, -7.22944212, 15.4881446, -54.1300716
2, 6.66231486E-05, 1.483790012E-05, -7.396153518E-05, -3.960400645E-04, 2.187703794E-04, -3.738321248E-04, 3.812474106E-02, -1.732752193E-02, -2.079721983E-02, 1.358663884E-02, 3.482974396E-03, -3.275006753E-02, 11.1150432, 3.1480819, -10.5133696, -30.4646199, 16.8284907, -28.7563176
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
