Node, 5994
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 5.613624759E-03, -1.615174624E-03, -1.630635263E-03, 2.222127983E-05, 1.46144956E-06, -4.722472659E-04, 0.373177014, -0.185990322, -0.18718669, 1.718354717E-03, 1.13085988E-04, -3.652041592E-02, 1136.84399, 24.7210042, 22.3424447, 1.70932915, 0.112419199, -36.3267126
1.2, 4.502379219E-03, -1.295414186E-03, -1.307184604E-03, 3.336464215E-04, -9.475929517E-06, -3.617109724E-04, 0.373177014, -0.185990322, -0.18718669, 1.718354717E-03, 1.13085988E-04, -3.652041592E-02, 911.879166, 19.9109533, 18.1001167, 25.6651092, -0.728917643, -27.823921
1.4, 3.391133709E-03, -9.75653682E-04, -9.837339239E-04, 6.450715591E-04, -2.041330231E-05, -2.511747371E-04, 0.373177014, -0.185990322, -0.18718669, 1.718354717E-03, 1.13085988E-04, -3.652041592E-02, 686.914345, 15.1009041, 13.8577921, 49.6208897, -1.57025407, -19.3211334
1.7, 1.724265399E-03, -4.960129736E-04, -4.985578926E-04, 1.112209269E-03, -3.681936141E-05, -8.537037684E-05, 0.373177014, -0.185990322, -0.18718669, 1.718354717E-03, 1.13085988E-04, -3.652041592E-02, 349.467117, 7.88583106, 7.49430543, 85.5545588, -2.83225861, -6.56695203
2, 5.739704466E-05, -1.637226183E-05, -1.33818653E-05, 1.579347008E-03, -5.322542029E-05, 8.04339814E-05, 0.373177014, -0.185990322, -0.18718669, 1.718354717E-03, 1.13085988E-04, -3.652041592E-02, 12.0198821, 0.670757914, 1.13081893, 121.488231, -4.09426305, 6.18722955
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
