Node, 2832
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 1.694911378E-03, -3.034963611E-04, -2.735710204E-04, -1.191784089E-03, -3.218242146E-04, -1.091173173E-03, 6.617457228E-03, -3.385515316E-03, -3.231941984E-03, -5.963754898E-03, -1.766402464E-03, -5.457601917E-03, 389.737595, 82.290251, 86.89415, -91.6757002, -24.7557087, -83.9363995
1.2, 1.376736764E-03, -2.514517273E-04, -2.282893656E-04, -1.103011236E-03, -3.267754219E-04, -9.409527629E-04, 6.617457228E-03, -3.385515316E-03, -3.231941984E-03, -5.963754898E-03, -1.766402464E-03, -5.457601917E-03, 315.305149, 64.8146202, 68.37806, -84.8470173, -25.1365707, -72.3809814
1.4, 1.058562164E-03, -1.99407189E-04, -1.830079409E-04, -1.01423802E-03, -3.317265036E-04, -7.907318941E-04, 6.617457228E-03, -3.385515316E-03, -3.231941984E-03, -5.963754898E-03, -1.766402464E-03, -5.457601917E-03, 240.872686, 47.3389366, 49.8618982, -78.0183096, -25.5174234, -60.8255301
1.7, 5.813002863E-04, -1.213403945E-04, -1.150857977E-04, -8.810782092E-04, -3.391531282E-04, -5.654005654E-04, 6.617457228E-03, -3.385515316E-03, -3.231941984E-03, -5.963754898E-03, -1.766402464E-03, -5.457601917E-03, 129.223975, 21.1254119, 22.0876564, -67.7752471, -26.0887022, -43.4923525
2, 1.040383959E-04, -4.327359727E-05, -4.716365356E-05, -7.47918406E-04, -3.465797527E-04, -3.400692658E-04, 6.617457228E-03, -3.385515316E-03, -3.231941984E-03, -5.963754898E-03, -1.766402464E-03, -5.457601917E-03, 17.5752697, -5.08811384, -5.68658367, -57.5321846, -26.6599813, -26.1591737
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
