Node, 3959
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 3.910906176E-03, -1.109104807E-03, -1.149015254E-03, -9.140175316E-04, 9.375265927E-05, -6.045710616E-04, 0.208732054, -0.103128587, -0.105603466, -5.676341243E-02, 5.813605501E-03, -3.754547751E-02, 792.383965, 20.0745758, 13.9345046, -70.309041, 7.21174306, -46.5054665
1.2, 3.132961545E-03, -8.720854603E-04, -9.410415805E-04, -8.633596444E-04, 7.862657139E-05, -2.454886926E-04, 0.208732054, -0.103128587, -0.105603466, -5.676341243E-02, 5.813605501E-03, -3.754547751E-02, 634.282677, 18.1216031, 7.51296651, -66.412281, 6.04819781, -18.8837454
1.4, 2.355016884E-03, -6.350660769E-04, -7.330679073E-04, -8.127017572E-04, 6.350048852E-05, 1.135936709E-04, 0.208732054, -0.103128587, -0.105603466, -5.676341243E-02, 5.813605501E-03, -3.754547751E-02, 476.181396, 16.16863, 1.09142822, -62.5155196, 4.88465285, 8.73797464
1.7, 1.188099966E-03, -2.795370419E-04, -4.211073574E-04, -7.367149519E-04, 4.081136126E-05, 6.522172116E-04, 0.208732054, -0.103128587, -0.105603466, -5.676341243E-02, 5.813605501E-03, -3.754547751E-02, 239.029476, 13.2391706, -8.54087913, -56.6703801, 3.13933542, 50.1705551
2, 2.118300389E-05, 7.599199716E-05, -1.091468357E-04, -6.607281175E-04, 1.812223468E-05, 1.190840747E-03, 0.208732054, -0.103128587, -0.105603466, -5.676341243E-02, 5.813605501E-03, -3.754547751E-02, 1.87755815, 10.309711, -18.1731865, -50.8252397, 1.39401807, 91.6031351
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
