Node, 11532
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 4.971571267E-03, -1.45433459E-03, -1.456786267E-03, -1.191044576E-03, 5.929428426E-06, -7.966779376E-04, 0.314496234, -0.157159228, -0.157337006, -8.739278652E-02, 4.299591747E-04, -5.845617689E-02, 1002.60139, 14.0005002, 13.623323, -91.6188126, 0.456109878, -61.2829189
1.2, 3.959558613E-03, -1.186074194E-03, -1.136915816E-03, -6.441400619E-04, 3.84383311E-05, -1.086353732E-03, 0.314496234, -0.157159228, -0.157337006, -8.739278652E-02, 4.299591747E-04, -5.845617689E-02, 797.997711, 6.36188507, 13.9247165, -49.5492363, 2.95679474, -83.56567
1.4, 2.947546134E-03, -9.178138716E-04, -8.170453657E-04, -9.723559447E-05, 7.09471733E-05, -1.376029599E-03, 0.314496234, -0.157159228, -0.157337006, -8.739278652E-02, 4.299591747E-04, -5.845617689E-02, 593.394028, -1.27672708, 14.22612, -7.47966126, 5.45747483, -105.848431
1.7, 1.42952727E-03, -5.154233513E-04, -3.372397114E-04, 7.231211057E-04, 1.197104339E-04, -1.810543385E-03, 0.314496234, -0.157159228, -0.157337006, -8.739278652E-02, 4.299591747E-04, -5.845617689E-02, 286.488533, -12.7346454, 14.6782248, 55.6247005, 9.2084949, -139.272568
2, -8.849152255E-05, -1.130328474E-04, 1.425659575E-04, 1.543477818E-03, 1.684736962E-04, -2.2450572E-03, 0.314496234, -0.157159228, -0.157337006, -8.739278652E-02, 4.299591747E-04, -5.845617689E-02, -20.4169745, -24.1925635, 15.1303294, 118.729061, 12.9595149, -172.696709
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
