Node, 4143
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 4.226457793E-03, -1.261129524E-03, -1.197539255E-03, 5.146698531E-04, -6.421011267E-05, -1.234152805E-03, 0.241202744, -0.122705572, -0.118497168, 3.411796363E-02, -4.249439255E-03, -8.181311935E-02, 854.199898, 9.9557156, 19.7388363, 39.5899882, -4.93923938, -94.9348316
1.2, 3.374713677E-03, -1.032583605E-03, -9.364079888E-04, 6.771535664E-05, -3.073728112E-05, -1.115769803E-03, 0.241202744, -0.122705572, -0.118497168, 3.411796363E-02, -4.249439255E-03, -8.181311935E-02, 681.385414, 3.33967828, 18.1359305, 5.20887351, -2.36440621, -85.8284483
1.4, 2.522969618E-03, -8.040377143E-04, -6.752767149E-04, -3.792391472E-04, 2.73555708E-06, -9.973868437E-04, 0.241202744, -0.122705572, -0.118497168, 3.411796363E-02, -4.249439255E-03, -8.181311935E-02, 508.57093, -3.27635856, 16.5330251, -29.1722424, 0.210427464, -76.722065
1.7, 1.245353516E-03, -4.612188386E-04, -2.83579815E-04, -1.0496709E-03, 5.294481412E-05, -8.198123542E-04, 0.241202744, -0.122705572, -0.118497168, 3.411796363E-02, -4.249439255E-03, -8.181311935E-02, 249.349176, -13.2004141, 14.1286659, -80.7439165, 4.07267797, -63.062489
2, -3.226259378E-05, -1.183999575E-04, 1.081170903E-04, -1.720102649E-03, 1.031540696E-04, -6.422378647E-04, 0.241202744, -0.122705572, -0.118497168, 3.411796363E-02, -4.249439255E-03, -8.181311935E-02, -9.87256736, -23.1244693, 11.7243074, -132.31559, 7.93492848, -49.4029126
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
