Node, 6889
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 4.010218487E-03, -1.143031812E-03, -1.124205388E-03, -2.86846637E-05, -2.001717345E-06, 5.754714512E-04, 0.214365875, -0.107770585, -0.10659529, -1.792389754E-03, -1.249327061E-04, 3.595859092E-02, 818.069923, 25.2621775, 28.1585491, -2.20651259, -0.153978255, 44.2670345
1.2, 3.229563794E-03, -9.188541226E-04, -9.01311214E-04, -1.635090985E-04, -1.04437438E-05, 4.461677781E-04, 0.214365875, -0.107770585, -0.10659529, -1.792389754E-03, -1.249327061E-04, 3.595859092E-02, 659.478867, 21.2607226, 23.9596314, -12.577623, -0.803364895, 34.3205991
1.4, 2.448909654E-03, -6.946775757E-04, -6.784171201E-04, -2.983332015E-04, -1.888536212E-05, 3.168635776E-04, 0.214365875, -0.107770585, -0.10659529, -1.792389754E-03, -1.249327061E-04, 3.595859092E-02, 500.887821, 17.2590225, 19.7606297, -22.9487076, -1.45272018, 24.3741219
1.7, 1.277928488E-03, -3.584127408E-04, -3.440759792E-04, -5.005693529E-04, -3.154779006E-05, 1.229072868E-04, 0.214365875, -0.107770585, -0.10659529, -1.792389754E-03, -1.249327061E-04, 3.595859092E-02, 263.001278, 11.2564721, 13.4621269, -38.5053353, -2.42675304, 9.45440656
2, 1.069473001E-04, -2.21479122E-05, -9.734848305E-06, -7.028055043E-04, -4.421021686E-05, -7.104901067E-05, 0.214365875, -0.107770585, -0.10659529, -1.792389754E-03, -1.249327061E-04, 3.595859092E-02, 25.1147234, 5.25392184, 7.16362405, -54.0619626, -3.40078595, -5.46530848
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
