Node, 3922
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 3.967916593E-03, -1.139719912E-03, -1.136914361E-03, -6.176112947E-04, -6.963850456E-05, 6.427613407E-04, 0.212685216, -0.106430116, -0.106255101, -3.857296845E-02, -4.343918175E-03, 4.014391778E-02, 805.596687, 19.8064423, 20.2380667, -47.5085602, -5.35680801, 49.4431801
1.2, 3.187189228E-03, -9.27608613E-04, -9.022667437E-04, -3.163161819E-04, -6.721960744E-05, 6.575050211E-04, 0.212685216, -0.106430116, -0.106255101, -3.857296845E-02, -4.343918175E-03, 4.014391778E-02, 646.949951, 13.9041227, 17.8028736, -24.3320141, -5.17073911, 50.5773091
1.4, 2.406461834E-03, -7.154973282E-04, -6.67619126E-04, -1.502107276E-05, -6.480070806E-05, 6.722486723E-04, 0.212685216, -0.106430116, -0.106255101, -3.857296845E-02, -4.343918175E-03, 4.014391778E-02, 488.303215, 8.00180346, 15.3676801, -1.15546717, -4.98466989, 51.7114367
1.7, 1.235370713E-03, -3.973303719E-04, -3.156476923E-04, 4.369215931E-04, -6.117236035E-05, 6.943641783E-04, 0.212685216, -0.106430116, -0.106255101, -3.857296845E-02, -4.343918175E-03, 4.014391778E-02, 250.333105, -0.851675376, 11.7148902, 33.6093533, -4.70556608, 53.4126291
2, 6.427958624E-05, -7.916342383E-05, 3.632373159E-05, 8.888642624E-04, -5.7544009E-05, 7.164796771E-04, 0.212685216, -0.106430116, -0.106255101, -3.857296845E-02, -4.343918175E-03, 4.014391778E-02, 12.3630009, -9.70515442, 8.06210035, 68.3741746, -4.42646226, 55.1138215
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
