Node, 3436
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 2.780643903E-03, -7.433674036E-04, -7.436179221E-04, -8.922811467E-04, 1.625971126E-04, -8.910596516E-04, 9.834923502E-02, -4.916936904E-02, -4.917986644E-02, -3.726255428E-02, 6.814312364E-03, -3.721121792E-02, 577.059669, 34.9040813, 34.865541, -68.6370115, 12.50747, -68.5430484
1.2, 2.217083093E-03, -5.774346937E-04, -6.067520517E-04, -8.232866385E-04, 1.638838858E-04, -5.759902488E-04, 9.834923502E-02, -4.916936904E-02, -4.917986644E-02, -3.726255428E-02, 6.814312364E-03, -3.721121792E-02, 460.270061, 30.3442414, 25.8338811, -63.3297415, 12.6064526, -44.3069425
1.4, 1.65352234E-03, -4.115020092E-04, -4.698861921E-04, -7.542921157E-04, 1.651706225E-04, -2.609208532E-04, 9.834923502E-02, -4.916936904E-02, -4.917986644E-02, -3.726255428E-02, 6.814312364E-03, -3.721121792E-02, 343.480453, 25.7843995, 16.8022161, -58.0224705, 12.7054323, -20.0708348
1.7, 8.081811902E-04, -1.626029643E-04, -2.645874265E-04, -6.508003571E-04, 1.671007176E-04, 2.116832438E-04, 9.834923502E-02, -4.916936904E-02, -4.917986644E-02, -3.726255428E-02, 6.814312364E-03, -3.721121792E-02, 168.296047, 18.9446365, 3.25471894, -50.0615649, 12.8539013, 16.2833265
2, -3.715995535E-05, 8.629607692E-05, -5.928865721E-05, -5.473085766E-04, 1.690308181E-04, 6.842873408E-04, 9.834923502E-02, -4.916936904E-02, -4.917986644E-02, -3.726255428E-02, 6.814312364E-03, -3.721121792E-02, -6.88836241, 12.1048732, -10.2927784, -42.1006598, 13.0023706, 52.6374874
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
