Node, 6694
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 4.333871941E-03, -1.251117937E-03, -1.228183028E-03, 3.524969935E-05, -2.158567028E-06, -7.492128352E-04, 0.247451687, -0.124488341, -0.122963343, 2.34683189E-03, -1.435382173E-04, -4.987885291E-02, 880.73848, 21.5092759, 25.0377212, 2.7115153, -0.166043618, -57.6317568
1.2, 3.482231696E-03, -1.006133374E-03, -9.843044099E-04, 2.410386442E-04, -1.738752132E-05, -5.812791424E-04, 0.247451687, -0.124488341, -0.122963343, 2.34683189E-03, -1.435382173E-04, -4.987885291E-02, 707.858009, 17.3403163, 20.6986201, 18.5414336, -1.33750163, -44.7137814
1.4, 2.630591509E-03, -7.611493347E-04, -7.404255593E-04, 4.468274528E-04, -3.261631446E-05, -4.133457733E-04, 0.247451687, -0.124488341, -0.122963343, 2.34683189E-03, -1.435382173E-04, -4.987885291E-02, 534.977539, 13.1712555, 16.3595283, 34.3713434, -2.50894728, -31.7958286
1.7, 1.353131374E-03, -3.936732719E-04, -3.746073089E-04, 7.555106786E-04, -5.545950444E-05, -1.61445696E-04, 0.247451687, -0.124488341, -0.122963343, 2.34683189E-03, -1.435382173E-04, -4.987885291E-02, 275.656837, 6.91766423, 9.85089052, 58.1162052, -4.26611573, -12.4188994
2, 7.567118428E-05, -2.619721545E-05, -8.789047484E-06, 1.064193901E-03, -7.830269351E-05, 9.045438037E-05, 0.247451687, -0.124488341, -0.122963343, 2.34683189E-03, -1.435382173E-04, -4.987885291E-02, 16.3361343, 0.664073087, 3.34225276, 81.8610687, -6.02328426, 6.95802924
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
