Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)
11997	18.94828	6.559099	4.38265
11998	18.94828	7.288081	3.018822
11999	18.94828	7.736985	1.538982
12000	18.94828	7.888562	2.23E-15
12001	18.94828	7.736985	-1.538982
12002	18.94828	7.288081	-3.018822
12003	18.94828	6.559099	-4.38265
12004	18.94828	5.578055	-5.578055
12005	18.94828	4.38265	-6.559099
12006	18.94828	3.018822	-7.288081
12007	18.94828	1.538982	-7.736985
12008	20.91223	-1.620303	-8.145811
12009	20.91223	-3.178338	-7.673186
12010	20.91223	-4.614231	-6.905685
12011	20.91223	-5.872802	-5.872802
12012	20.91223	-6.905685	-4.614231
12013	20.91223	-7.673186	-3.178338
12014	20.91223	-8.145811	-1.620303
12015	20.91223	-8.305397	-3.18E-15
12016	20.91223	-8.145811	1.620303
12017	20.91223	-7.673186	3.178338
12018	20.91223	-6.905685	4.614231
12019	20.91223	-5.872802	5.872802
12020	20.91223	-4.614231	6.905685
12021	20.91223	-3.178338	7.673186
12022	20.91223	-1.620303	8.145811
12023	20.91223	0	8.305397
12024	20.91223	1.620303	8.145811
12025	20.91223	3.178338	7.673186
12026	20.91223	4.614231	6.905685
12027	20.91223	5.872802	5.872802
12028	20.91223	6.905685	4.614231
12029	20.91223	7.673186	3.178338
12030	20.91223	8.145811	1.620303
12031	20.91223	8.305397	2.35E-15
12032	20.91223	8.145811	-1.620303
12033	20.91223	7.673186	-3.178338
12034	20.91223	6.905685	-4.614231
12035	20.91223	5.872802	-5.872802
12036	20.91223	4.614231	-6.905685
12037	20.91223	3.178338	-7.673186
12038	20.91223	1.620303	-8.145811
12039	22.86704	-1.709618	-8.59483
12040	22.86704	-3.353536	-8.096152
12041	22.86704	-4.86858	-7.286345
12042	22.86704	-6.196527	-6.196527
12043	22.86704	-7.286345	-4.86858
12044	22.86704	-8.096152	-3.353536
12045	22.86704	-8.59483	-1.709618
12046	22.86704	-8.763212	-3.36E-15
12047	22.86704	-8.59483	1.709618
12048	22.86704	-8.096152	3.353536
12049	22.86704	-7.286345	4.86858
12050	22.86704	-6.196527	6.196527
12051	22.86704	-4.86858	7.286345
12052	22.86704	-3.353536	8.096152
12053	22.86704	-1.709618	8.59483
12054	22.86704	0	8.763212
12055	22.86704	1.709618	8.59483
12056	22.86704	3.353536	8.096152
12057	22.86704	4.86858	7.286345
12058	22.86704	6.196527	6.196527
12059	22.86704	7.286345	4.86858
12060	22.86704	8.096152	3.353536
12061	22.86704	8.59483	1.709618
12062	22.86704	8.763212	2.48E-15
12063	22.86704	8.59483	-1.709618
12064	22.86704	8.096152	-3.353536
12065	22.86704	7.286345	-4.86858
12066	22.86704	6.196527	-6.196527
12067	22.86704	4.86858	-7.286345
12068	22.86704	3.353536	-8.096152
12069	22.86704	1.709618	-8.59483
12070	24.81184	-1.806889	-9.083844
12071	24.81184	-3.54434	-8.556794
12072	24.81184	-5.145584	-7.700911
12073	24.81184	-6.549087	-6.549087
12074	24.81184	-7.700911	-5.145584
12075	24.81184	-8.556794	-3.54434
12076	24.81184	-9.083844	-1.806889
12077	24.81184	-9.261807	-3.55E-15
12078	24.81184	-9.083844	1.806889
12079	24.81184	-8.556794	3.54434
12080	24.81184	-7.700911	5.145584
12081	24.81184	-6.549087	6.549087
12082	24.81184	-5.145584	7.700911
12083	24.81184	-3.54434	8.556794
12084	24.81184	-1.806889	9.083844
12085	24.81184	0	9.261807
12086	24.81184	1.806889	9.083844
12087	24.81184	3.54434	8.556794
12088	24.81184	5.145584	7.700911
12089	24.81184	6.549087	6.549087
12090	24.81184	7.700911	5.145584
12091	24.81184	8.556794	3.54434
12092	24.81184	9.083844	1.806889
12093	24.81184	9.261807	2.62E-15
12094	24.81184	9.083844	-1.806889
12095	24.81184	8.556794	-3.54434
12096	24.81184	7.700911	-5.145584
12097	24.81184	6.549087	-6.549087
12098	24.81184	5.145584	-7.700911
12099	24.81184	3.54434	-8.556794
12100	24.81184	1.806889	-9.083844
12101	26.7458	-1.912073	-9.61264
12102	26.7458	-3.750666	-9.05491
12103	26.7458	-5.445124	-8.149203
12104	26.7458	-6.930328	-6.930328
12105	26.7458	-8.149203	-5.445124
12106	26.7458	-9.05491	-3.750666
12107	26.7458	-9.61264	-1.912073
12108	26.7458	-9.800963	-3.75E-15
12109	26.7458	-9.61264	1.912073
12110	26.7458	-9.05491	3.750666
12111	26.7458	-8.149203	5.445124
12112	26.7458	-6.930328	6.930328
12113	26.7458	-5.445124	8.149203
12114	26.7458	-3.750666	9.05491
12115	26.7458	-1.912073	9.61264
12116	26.7458	0	9.800963
12117	26.7458	1.912073	9.61264
12118	26.7458	3.750666	9.05491
12119	26.7458	5.445124	8.149203
12120	26.7458	6.930328	6.930328
12121	26.7458	8.149203	5.445124
12122	26.7458	9.05491	3.750666
12123	26.7458	9.61264	1.912073
12124	26.7458	9.800963	2.78E-15
12125	26.7458	9.61264	-1.912073
12126	26.7458	9.05491	-3.750666
12127	26.7458	8.149203	-5.445124
12128	26.7458	6.930328	-6.930328
12129	26.7458	5.445124	-8.149203
12130	26.7458	3.750666	-9.05491
12131	26.7458	1.912073	-9.61264
12132	28.66805	-2.025125	-10.18099
12133	28.66805	-3.972425	-9.590281
12134	28.66805	-5.767066	-8.631025
12135	28.66805	-7.340084	-7.340084
12136	28.66805	-8.631025	-5.767066
12137	28.66805	-9.590281	-3.972425
12138	28.66805	-10.18099	-2.025125
12139	28.66805	-10.38045	-3.97E-15
12140	28.66805	-10.18099	2.025125
12141	28.66805	-9.590281	3.972425
12142	28.66805	-8.631025	5.767066
12143	28.66805	-7.340084	7.340084
12144	28.66805	-5.767066	8.631025
12145	28.66805	-3.972425	9.590281
12146	28.66805	-2.025125	10.18099
12147	28.66805	0	10.38045
12148	28.66805	2.025125	10.18099
12149	28.66805	3.972425	9.590281
12150	28.66805	5.767066	8.631025
12151	28.66805	7.340084	7.340084
12152	28.66805	8.631025	5.767066
12153	28.66805	9.590281	3.972425
12154	28.66805	10.18099	2.025125
12155	28.66805	10.38045	2.94E-15
12156	28.66805	10.18099	-2.025125
12157	28.66805	9.590281	-3.972425
12158	28.66805	8.631025	-5.767066
12159	28.66805	7.340084	-7.340084
12160	28.66805	5.767066	-8.631025
12161	28.66805	3.972425	-9.590281
12162	28.66805	2.025125	-10.18099
12227	-28.66805	1.27E-15	-10.38045
12228	-26.7458	1.20E-15	-9.800963
12229	-24.81184	1.13E-15	-9.261807
12230	-22.86704	1.07E-15	-8.763212
12231	-20.91223	1.02E-15	-8.305397
12232	-18.94828	9.66E-16	-7.888562
12233	-16.97603	9.20E-16	-7.512888
12234	-14.99637	8.79E-16	-7.178542
12235	-13.01014	8.43E-16	-6.885668
12236	-11.01823	8.12E-16	-6.634395
12237	-9.021492	7.87E-16	-6.424832
12238	-7.020811	7.66E-16	-6.257072
12239	-5.017059	7.51E-16	-6.131188
12240	-3.011114	7.41E-16	-6.047235
12241	-1.003851	7.35E-16	-6.005249
12242	1.003851	7.35E-16	-6.005249
12243	3.011114	7.41E-16	-6.047235
12244	5.017059	7.51E-16	-6.131188
12245	7.020811	7.66E-16	-6.257072
12246	9.021492	7.87E-16	-6.424832
12247	11.01823	8.12E-16	-6.634395
12248	13.01014	8.43E-16	-6.885668
12249	14.99637	8.79E-16	-7.178542
12250	16.97603	9.20E-16	-7.512888
12251	18.94828	9.66E-16	-7.888562
12252	20.91223	1.02E-15	-8.305397
12253	22.86704	1.07E-15	-8.763212
12254	24.81184	1.13E-15	-9.261807
12255	26.7458	1.20E-15	-9.800963
12256	28.66805	1.27E-15	-10.38045
2801	28.66805	0.1601089	0.8838618
2802	28.66805	0.539336	0.2589672
2803	28.66805	-1.185647	0.4076377
2804	28.66805	-0.6317213	-0.4783413
2805	28.66805	-0.0613	1.579407
2806	28.66805	-0.2408279	-1.357901
2807	28.66805	1.236073	1.892092
2808	28.66805	-0.8484731	1.607517
2809	28.66805	0.5906541	2.401832
2810	28.66805	1.676618	1.225153
2811	28.66805	1.961499	-1.799636
2812	28.66805	2.639194	-1.30298
2813	28.66805	2.176846	0.6682659
2814	28.66805	2.304085	-0.6534114
2815	28.66805	2.707716	0.1394133
2816	28.66805	-1.77655	-1.084597
2817	28.66805	-1.759957	1.827617
2818	28.66805	-1.180235	-2.9761
2819	28.66805	-1.456565	-1.961318
2820	28.66805	-0.1295864	-2.507785
2821	28.66805	1.002575	-2.005754
2822	28.66805	-2.231528	-3.309889
2823	28.66805	-0.2460961	2.654486
2824	28.66805	1.229391	3.396642
2825	28.66805	-2.867656	0.1525796
2826	28.66805	-2.186182	-0.3572599
2827	28.66805	2.144517	2.907526
2828	28.66805	3.233047	1.47468
2829	28.66805	2.797569	2.219551
2830	28.66805	3.743513	-0.00485
2831	28.66805	3.532941	0.7946647
2832	28.66805	-2.683905	-2.438769
2833	28.66805	-3.2393	-0.7422293
2834	28.66805	-2.993124	-1.548707
2835	28.66805	3.388462	-1.530741
2836	28.66805	-2.181393	3.0329
2837	28.66805	-0.5332523	3.789459
2838	28.66805	3.023423	-2.319249
2839	28.66805	-1.548815	3.94732
2840	28.66805	-3.440691	1.282106
2841	28.66805	1.261331	-3.227051
2842	28.66805	0.800571	4.77914
2843	28.66805	-3.995308	0.2952616
2844	28.66805	-0.2185379	4.898163
2845	28.66805	1.803395	4.518738
2846	28.66805	-1.191908	4.935189
2847	28.66805	-2.033604	4.950021
2848	28.66805	3.37503	3.561037
2849	28.66805	2.632081	4.128029
2850	28.66805	-4.483219	1.733093
2851	28.66805	-3.09102	3.491128
2852	28.66805	3.844747	2.825053
2853	28.66805	-3.875222	2.705574
2854	28.66805	4.738097	0.0679
2855	28.66805	4.633106	1.053789
2856	28.66805	-4.978897	0.6051072
2857	28.66805	4.366692	-1.897945
2858	28.66805	4.634319	-0.8896918
2859	28.66805	-2.910069	-4.360507
